team_id_a,team_id_b,team_a_win,team_b_win,total_matches,dominance,point_diff_avg_a,point_diff_avg_b,home_points_avg,away_points_avg
CHL,CHL,,,,,-6.4,-5.8,82.0,74.4
CHL,MAL,0.0,1.0,1.0,0.0,,,,
CHL,SIE,1.0,0.0,1.0,1.0,,,,
CHL,SOP,1.0,0.0,1.0,1.0,,,,
CHL,TEL,0.0,1.0,1.0,0.0,,,,
CHO,BAR,0.0,1.0,1.0,0.0,,,,
CHO,CHO,,,,,1.6,-15.4,74.8,66.2
CHO,CIB,1.0,0.0,1.0,1.0,,,,
CHO,LIE,1.0,0.0,1.0,1.0,,,,
CHO,SIE,0.0,1.0,1.0,0.0,,,,
CHO,ULK,1.0,0.0,1.0,1.0,,,,
CIB,ARI,0.0,1.0,1.0,0.0,,,,
CIB,ASV,1.0,0.0,1.0,1.0,,,,
CIB,AVE,1.0,0.0,1.0,1.0,,,,
CIB,BAR,0.0,2.0,2.0,0.0,,,,
CIB,BAS,0.0,1.0,1.0,0.0,,,,
CIB,CHO,0.0,1.0,1.0,0.0,,,,
CIB,CIB,,,,,-2.7142857142857144,-13.5,75.96428571428571,69.14285714285714
CIB,CSK,0.0,1.0,1.0,0.0,,,,
CIB,IST,1.0,0.0,1.0,1.0,,,,
CIB,KHI,1.0,0.0,1.0,1.0,,,,
CIB,LEM,2.0,0.0,2.0,1.0,,,,
CIB,LIE,0.0,2.0,2.0,0.0,,,,
CIB,MAL,0.0,2.0,2.0,0.0,,,,
CIB,MIL,1.0,0.0,1.0,1.0,,,,
CIB,OLY,1.0,1.0,2.0,0.0,,,,
CIB,SIE,1.0,2.0,3.0,0.0,,,,
CIB,TEL,1.0,1.0,2.0,0.0,,,,
CIB,ULK,1.0,2.0,3.0,0.0,,,,
CIB,ZAL,1.0,0.0,1.0,1.0,,,,
CSK,ASV,2.0,0.0,2.0,1.0,,,,
CSK,BAM,7.0,0.0,7.0,1.0,,,,
CSK,BAR,7.0,3.0,10.0,1.0,,,,
CSK,BAS,16.0,1.0,17.0,1.0,,,,
CSK,BER,3.0,1.0,4.0,1.0,,,,
CSK,BES,1.0,0.0,1.0,1.0,,,,
CSK,BIL,2.0,0.0,2.0,1.0,,,,
CSK,BUD,1.0,0.0,1.0,1.0,,,,
CSK,CAN,1.0,0.0,1.0,1.0,,,,
CSK,CED,1.0,0.0,1.0,1.0,,,,
CSK,CIB,1.0,0.0,1.0,1.0,,,,
CSK,CSK,,,,,10.169014084507042,4.560975609756097,84.97652582159624,80.92682926829268
CSK,DAR,3.0,0.0,3.0,1.0,,,,
CSK,DYR,3.0,0.0,3.0,1.0,,,,
CSK,GAL,3.0,0.0,3.0,1.0,,,,
CSK,IST,9.0,3.0,12.0,1.0,,,,
CSK,KHI,7.0,0.0,7.0,1.0,,,,
CSK,LIE,1.0,0.0,1.0,1.0,,,,
CSK,LJU,3.0,0.0,3.0,1.0,,,,
CSK,LMG,1.0,0.0,1.0,1.0,,,,
CSK,MAD,9.0,2.0,11.0,1.0,,,,
CSK,MAL,6.0,2.0,8.0,1.0,,,,
CSK,MAR,1.0,0.0,1.0,1.0,,,,
CSK,MIL,6.0,3.0,9.0,1.0,,,,
CSK,MUN,4.0,1.0,5.0,1.0,,,,
CSK,NIK,1.0,0.0,1.0,1.0,,,,
CSK,NIO,1.0,0.0,1.0,1.0,,,,
CSK,NOV,1.0,0.0,1.0,1.0,,,,
CSK,NTR,1.0,0.0,1.0,1.0,,,,
CSK,OLY,10.0,6.0,16.0,1.0,,,,
CSK,PAM,4.0,0.0,4.0,1.0,,,,
CSK,PAN,12.0,3.0,15.0,1.0,,,,
CSK,PAR,6.0,1.0,7.0,1.0,,,,
CSK,RED,7.0,0.0,7.0,1.0,,,,
CSK,ROM,1.0,1.0,2.0,0.0,,,,
CSK,SAS,1.0,0.0,1.0,1.0,,,,
CSK,SIE,2.0,0.0,2.0,1.0,,,,
CSK,SOP,2.0,0.0,2.0,1.0,,,,
CSK,TEL,8.0,2.0,10.0,1.0,,,,
CSK,TIV,2.0,0.0,2.0,1.0,,,,
CSK,ULK,5.0,6.0,11.0,0.0,,,,
CSK,UNK,1.0,1.0,2.0,0.0,,,,
CSK,VIR,1.0,0.0,1.0,1.0,,,,
CSK,ZAG,1.0,0.0,1.0,1.0,,,,
CSK,ZAL,11.0,1.0,12.0,1.0,,,,
CTU,BAR,0.0,1.0,1.0,0.0,,,,
CTU,BAS,1.0,0.0,1.0,1.0,,,,
CTU,BIL,1.0,0.0,1.0,1.0,,,,
