game_id,game,round,phase,season_code,team_id_a,team_id_b,fast_break_points_a,fast_break_points_b,turnover_points_a,turnover_points_b,second_chance_points_a,second_chance_points_b,defensive_rebounds_a,offensive_rebounds_b,offensive_rebounds_a,defensive_rebounds_b,turnovers_starters_a,turnovers_bench_a,turnovers_starters_b,turnovers_bench_b,steals_starters_a,steals_bench_a,steals_starters_b,steals_bench_b,assists_starters_a,assists_bench_a,assists_starters_b,assists_bench_b,points_starters_a,points_bench_a,points_starters_b,points_bench_b,max_a,minute_prev_a,prev_a,minute_str_a,str_a,max_b,minute_prev_b,prev_b,minute_str_b,str_b,max_lead_a,max_lead_b,minute_max_lead_a,minute_max_lead_b,points_max_lead_a,points_max_lead_b
E2023_073,MIL-IST,9,REGULAR SEASON,E2023,MIL,IST,4,8,7,14,6,8,27,5,5,19,6,4,4,4,0,1,5,1,12,9,15,1,61,31,61,15,13,37,79-73,40,92-73,6,20,43-36,21,43-42,19,3,40,29,92-73,58-61
E2023_074,TEL-ULK,9,REGULAR SEASON,E2023,TEL,ULK,6,2,7,15,24,8,23,8,22,25,9,3,12,4,9,1,2,1,7,5,13,1,49,29,59,14,7,9,17-28,11,24-28,10,14,32-33,19,32-43,6,11,38,9,70-64,17-28
E2023_075,OLY-RED,9,REGULAR SEASON,E2023,OLY,RED,2,16,18,11,12,12,27,11,12,20,7,4,7,3,3,0,5,2,21,5,9,5,74,14,47,36,10,16,31-39,18,41-39,9,37,80-66,38,80-75,15,8,35,16,78-63,31-39
E2023_076,MAD-MCO,9,REGULAR SEASON,E2023,MAD,MCO,6,5,4,17,2,12,34,11,5,22,5,7,3,5,2,1,6,2,19,8,11,6,59,32,42,31,10,5,13-10,7,23-10,9,16,48-26,19,48-35,30,3,30,2,80-50,2-5
E2023_077,BAR-PAM,9,REGULAR SEASON,E2023,BAR,PAM,2,0,13,9,13,9,28,15,15,24,5,3,4,8,2,3,1,3,13,4,4,4,40,34,31,39,10,34,58-60,38,68-60,8,10,25-14,12,25-22,11,2,9,1,24-13,0-2
E2023_078,ASV-BAS,9,REGULAR SEASON,E2023,ASV,BAS,9,2,13,14,10,11,28,6,9,29,5,2,5,3,3,0,0,2,15,3,8,15,50,31,63,25,12,6,15-14,8,27-14,11,23,58-48,26,58-59,16,8,13,30,39-23,65-73
E2023_079,PAN-VIR,9,REGULAR SEASON,E2023,PAN,VIR,11,6,14,8,15,10,26,11,11,22,3,5,7,4,7,1,0,3,12,5,9,5,58,32,52,24,13,31,62-67,36,75-67,6,21,47-42,23,47-48,14,5,39,31,86-72,62-67
E2023_080,PAR-BER,9,REGULAR SEASON,E2023,PAR,BER,2,0,23,14,12,11,21,11,8,18,6,7,7,10,1,5,4,1,13,6,15,4,39,50,47,27,7,9,14-20,11,21-20,6,5,12-8,6,12-14,15,6,39,9,84-69,14-20
E2023_081,ZAL-MUN,9,REGULAR SEASON,E2023,ZAL,MUN,7,4,8,11,6,9,26,11,6,28,5,4,5,5,3,2,3,2,5,9,8,9,31,43,29,44,8,3,5-9,5,13-9,10,16,37-29,18,37-39,11,9,11,26,29-18,46-55
E2023_082,ASV-MUN,10,REGULAR SEASON,E2023,ASV,MUN,7,2,25,7,6,8,29,13,8,36,6,1,8,7,7,3,3,2,18,4,12,6,68,32,59,42,11,12,18-25,15,29-25,11,35,69-62,38,69-73,12,7,31,12,63-51,18-25
E2023_083,TEL-BAR,10,REGULAR SEASON,E2023,TEL,BAR,7,4,23,18,11,25,21,16,12,21,13,6,10,7,3,4,4,3,17,5,9,6,62,28,51,41,9,27,59-68,30,68-68,13,20,51-48,24,51-61,7,10,8,24,25-18,51-61
E2023_084,PAN-PAM,10,REGULAR SEASON,E2023,PAN,PAM,10,10,18,10,11,8,23,12,9,22,6,4,10,3,6,1,2,4,16,3,15,6,67,23,23,50,12,9,24-18,13,36-18,9,13,36-18,15,36-27,22,2,23,1,60-38,0-2
E2023_085,MAD-BER,10,REGULAR SEASON,E2023,MAD,BER,6,8,20,18,9,18,26,16,10,16,9,5,9,4,8,1,8,2,18,14,5,8,56,43,51,24,11,6,15-13,9,26-13,5,34,80-63,36,80-68,25,0,39,0,97-72,
E2023_086,VIR-ULK,10,REGULAR SEASON,E2023,VIR,ULK,4,2,9,10,10,8,26,10,8,22,5,6,4,5,1,3,5,1,15,6,12,7,50,37,59,20,11,14,30-35,17,41-35,9,3,9-7,5,9-16,15,7,31,5,73-58,9-16
E2023_087,IST-PAR,10,REGULAR SEASON,E2023,IST,PAR,9,9,26,22,10,21,10,12,6,19,8,3,15,5,11,5,6,0,7,11,15,9,60,40,77,17,10,12,24-27,15,34-27,8,27,60-59,29,60-67,10,10,18,30,44-34,64-74
E2023_088,RED-MIL,10,REGULAR SEASON,E2023,RED,MIL,10,2,14,19,8,3,19,6,8,27,7,4,7,4,4,1,5,2,10,7,8,3,48,23,72,21,8,21,39-41,23,47-41,12,23,47-41,26,47-53,6,24,23,40,47-41,69-93
E2023_089,OLY-ZAL,10,REGULAR SEASON,E2023,OLY,ZAL,5,6,9,7,10,9,22,5,5,22,4,2,5,5,4,3,3,2,15,8,7,6,65,24,43,29,14,16,28-27,20,42-27,6,30,69-49,31,69-55,20,4,30,7,69-49,10-14
E2023_090,BAS-MCO,10,REGULAR SEASON,E2023,BAS,MCO,6,10,5,19,8,19,28,14,8,25,6,6,3,3,1,2,1,4,12,4,7,5,46,29,46,31,8,4,3-7,6,11-7,9,31,62-64,33,62-73,4,11,6,33,11-7,62-73
E2023_091,MCO-OLY,11,REGULAR SEASON,E2023,MCO,OLY,0,0,14,11,12,9,23,6,13,18,5,3,9,4,6,1,2,2,10,5,12,6,44,41,59,18,10,7,15-17,11,25-17,8,29,58-54,32,58-62,9,5,13,33,27-18,60-65
