season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game,plus_minus_per_game
E2023_P011225_ASV,E2023,P011225,"LEE, PARIS",ASV,33.0,32.0,923.5,378,62,138,56,159,86,93,8,54,62,182,55,69,0,12,60,103,453,-106,27.98,11.45,1.88,4.18,0.449,1.7,4.82,0.352,2.61,2.82,0.925,0.24,1.64,1.88,5.52,1.67,2.09,0.0,0.36,1.82,3.12,13.73,-3.21
E2023_P003210_ZAL,E2023,P003210,"LEKAVICIUS, LUKAS",ZAL,30.0,1.0,363.7,147,30,84,21,53,24,28,4,19,23,49,8,24,0,4,32,33,110,-74,12.12,4.9,1.0,2.8,0.357,0.7,1.77,0.396,0.8,0.93,0.857,0.13,0.63,0.77,1.63,0.27,0.8,0.0,0.13,1.07,1.1,3.67,-2.47
E2023_P003842_PAN,E2023,P003842,"LESSORT, MATHIAS",PAN,41.0,29.0,1216.3,570,204,325,0,1,162,267,96,163,259,57,41,75,37,20,108,274,808,177,29.67,13.9,4.98,7.93,0.628,0.0,0.02,0.0,3.95,6.51,0.607,2.34,3.98,6.32,1.39,1.0,1.83,0.9,0.49,2.63,6.68,19.71,4.32
E2023_P003526_ASV,E2023,P003526,"LIGHTY, DAVID",ASV,29.0,25.0,479.4,96,20,50,15,43,11,15,8,34,42,29,18,15,1,2,54,24,77,-133,16.53,3.31,0.69,1.72,0.4,0.52,1.48,0.349,0.38,0.52,0.733,0.28,1.17,1.45,1.0,0.62,0.52,0.03,0.07,1.86,0.83,2.66,-4.59
E2023_PTGB_MAD,E2023,PTGB,"LLULL, SERGIO",MAD,33.0,2.0,595.9,260,36,84,52,153,32,44,2,37,39,65,10,35,1,1,51,43,170,63,18.06,7.88,1.09,2.55,0.429,1.58,4.64,0.34,0.97,1.33,0.727,0.06,1.12,1.18,1.97,0.3,1.06,0.03,0.03,1.55,1.3,5.15,1.91
E2023_P007032_MIL,E2023,P007032,"LO, MAODO",MIL,21.0,10.0,405.9,159,28,55,29,72,16,21,4,32,36,56,10,26,0,4,32,40,164,-17,19.33,7.57,1.33,2.62,0.509,1.38,3.43,0.403,0.76,1.0,0.762,0.19,1.52,1.71,2.67,0.48,1.24,0.0,0.19,1.52,1.9,7.81,-0.81
E2023_P005553_VIR,E2023,P005553,"LOMAZS, RIHARDS",VIR,8.0,0.0,62.6,26,5,9,4,8,4,5,0,4,4,2,0,4,0,0,9,9,19,-26,7.82,3.25,0.62,1.12,0.556,0.5,1.0,0.5,0.5,0.62,0.8,0.0,0.5,0.5,0.25,0.0,0.5,0.0,0.0,1.12,1.12,2.38,-3.25
E2023_P005356_PAM,E2023,P005356,"LOPEZ-AROSTEGUI, XABI",PAM,25.0,6.0,410.4,127,34,58,13,52,20,24,22,59,81,23,11,22,0,4,36,42,155,-124,16.42,5.08,1.36,2.32,0.586,0.52,2.08,0.25,0.8,0.96,0.833,0.88,2.36,3.24,0.92,0.44,0.88,0.0,0.16,1.44,1.68,6.2,-4.96
E2023_P006302_OLY,E2023,P006302,"LOUNTZIS, MICHALIS",OLY,14.0,1.0,116.2,21,5,12,2,17,5,8,0,9,9,6,4,5,1,3,13,8,3,-22,8.3,1.5,0.36,0.86,0.417,0.14,1.21,0.118,0.36,0.57,0.625,0.0,0.64,0.64,0.43,0.29,0.36,0.07,0.21,0.93,0.57,0.21,-1.57
E2023_P009754_MCO,E2023,P009754,"LOYD, JORDAN",MCO,20.0,12.0,450.1,209,38,88,29,83,46,51,9,45,54,40,16,21,1,8,65,60,177,25,22.51,10.45,1.9,4.4,0.432,1.45,4.15,0.349,2.3,2.55,0.902,0.45,2.25,2.7,2.0,0.8,1.05,0.05,0.4,3.25,3.0,8.85,1.25
E2023_P001288_MUN,E2023,P001288,"LUCIC, VLADIMIR",MUN,20.0,13.0,502.9,152,23,43,23,50,37,40,9,45,54,35,9,23,5,1,29,52,204,-22,25.15,7.6,1.15,2.15,0.535,1.15,2.5,0.46,1.85,2.0,0.925,0.45,2.25,2.7,1.75,0.45,1.15,0.25,0.05,1.45,2.6,10.2,-1.1
E2023_P006158_ZAL,E2023,P006158,"LUKOSIUNAS, KAROLIS",ZAL,1.0,0.0,11.7,6,0,0,2,6,0,0,0,0,0,0,0,0,0,0,4,0,-2,0,11.68,6.0,0.0,0.0,0.0,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-2.0,0.0
E2023_P010781_VIR,E2023,P010781,"LUNDBERG, IFFE",VIR,35.0,1.0,675.3,330,79,145,43,128,43,59,13,60,73,70,21,44,1,7,50,70,297,-70,19.29,9.43,2.26,4.14,0.545,1.23,3.66,0.336,1.23,1.69,0.729,0.37,1.71,2.09,2.0,0.6,1.26,0.03,0.2,1.43,2.0,8.49,-2.0
E2023_P012080_ASV,E2023,P012080,"LUWAWU-CABARROT, TIMOTHE",ASV,28.0,20.0,787.8,364,93,181,35,93,73,88,13,81,94,65,31,65,2,13,86,80,311,-184,28.14,13.0,3.32,6.46,0.514,1.25,3.32,0.376,2.61,3.14,0.83,0.46,2.89,3.36,2.32,1.11,2.32,0.07,0.46,3.07,2.86,11.11,-6.57
E2023_P011052_ULK,E2023,P011052,"MADAR, YAM",ULK,30.0,4.0,405.6,128,30,54,13,40,29,35,10,25,35,61,17,28,3,4,49,38,144,-19,13.52,4.27,1.0,1.8,0.556,0.43,1.33,0.325,0.97,1.17,0.829,0.33,0.83,1.17,2.03,0.57,0.93,0.1,0.13,1.63,1.27,4.8,-0.63
E2023_P002969_ULK,E2023,P002969,"MAHMUTOGLU, MELIH",ULK,9.0,0.0,40.9,14,1,3,4,12,0,0,0,1,1,1,1,0,0,0,1,0,6,-22,4.54,1.56,0.11,0.33,0.333,0.44,1.33,0.333,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.0,0.67,-2.44
E2023_P012715_ZAL,E2023,P012715,"MANEK, BRADY",ZAL,28.0,6.0,527.7,211,26,56,48,118,15,19,14,82,96,17,16,24,2,5,45,29,193,11,18.85,7.54,0.93,2.0,0.464,1.71,4.21,0.407,0.54,0.68,0.789,0.5,2.93,3.43,0.61,0.57,0.86,0.07,0.18,1.61,1.04,6.89,0.39
E2023_P011064_BAS,E2023,P011064,"MANNION, NICCOLO",BAS,8.0,0.0,110.4,48,10,24,7,20,7,10,3,7,10,18,1,10,0,1,12,10,34,-23,13.8,6.0,1.25,3.0,0.417,0.88,2.5,0.35,0.88,1.25,0.7,0.38,0.88,1.25,2.25,0.12,1.25,0.0,0.12,1.5,1.25,4.25,-2.88
E2023_P008084_PAN,E2023,P008084,"MANTZOUKAS, ELEFTHERIOS",PAN,14.0,0.0,102.0,27,1,4,8,12,1,3,4,10,14,1,1,2,0,1,11,2,22,12,7.29,1.93,0.07,0.29,0.25,0.57,0.86,0.667,0.07,0.21,0.333,0.29,0.71,1.0,0.07,0.07,0.14,0.0,0.07,0.79,0.14,1.57,0.86
E2023_P010754_PAM,E2023,P010754,"MARI, LUCAS",PAM,1.0,0.0,2.4,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,1,2,4,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0
E2023_P004761_BAS,E2023,P004761,"MARINKOVIC, VANJA",BAS,37.0,28.0,955.6,406,57,112,78,203,58,72,24,67,91,57,12,36,1,12,79,75,321,-60,25.83,10.97,1.54,3.03,0.509,2.11,5.49,0.384,1.57,1.95,0.806,0.65,1.81,2.46,1.54,0.32,0.97,0.03,0.32,2.14,2.03,8.68,-1.62
E2023_P012713_VIR,E2023,P012713,"MASCOLO, BRUNO",VIR,2.0,0.0,9.8,2,1,4,0,0,0,0,1,0,1,0,0,0,0,0,2,1,-1,6,4.88,1.0,0.5,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,-0.5,3.0
E2023_P007025_BER,E2023,P007025,"MATTISSECK, JONAS",BER,26.0,2.0,316.0,86,5,15,23,53,7,7,2,14,16,14,9,7,0,0,46,32,64,-137,12.15,3.31,0.19,0.58,0.333,0.88,2.04,0.434,0.27,0.27,1.0,0.08,0.54,0.62,0.54,0.35,0.27,0.0,0.0,1.77,1.23,2.46,-5.27
E2023_P011433_TEL,E2023,P011433,"MAYER, OMER",TEL,5.0,0.0,15.3,3,0,0,1,5,0,0,0,1,1,2,0,1,0,0,1,0,0,0,3.06,0.6,0.0,0.0,0.0,0.2,1.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0
E2023_P012800_MIL,E2023,P012800,"MCGRUDER, RODNEY",MIL,7.0,2.0,126.9,53,14,25,6,20,7,11,7,11,18,6,4,2,0,2,12,8,44,14,18.13,7.57,2.0,3.57,0.56,0.86,2.86,0.3,1.0,1.57,0.636,1.0,1.57,2.57,0.86,0.57,0.29,0.0,0.29,1.71,1.14,6.29,2.0
E2023_P007853_OLY,E2023,P007853,"MCKISSIC, SHAQUIELLE",OLY,32.0,0.0,522.9,233,51,87,28,81,47,66,15,35,50,33,32,32,0,7,43,60,218,73,16.34,7.28,1.59,2.72,0.586,0.88,2.53,0.346,1.47,2.06,0.712,0.47,1.09,1.56,1.03,1.0,1.0,0.0,0.22,1.34,1.88,6.81,2.28
E2023_P002849_MIL,E2023,P002849,"MELLI, NICOLO",MIL,34.0,34.0,830.6,249,66,125,29,75,30,52,28,107,135,68,32,34,20,2,101,86,326,47,24.43,7.32,1.94,3.68,0.528,0.85,2.21,0.387,0.88,1.53,0.577,0.82,3.15,3.97,2.0,0.94,1.0,0.59,0.06,2.97,2.53,9.59,1.38
E2023_P008296_VIR,E2023,P008296,"MENALO, LEO",VIR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2023_P004233_TEL,E2023,P004233,"MENCO, RAFI",TEL,20.0,0.0,165.3,53,9,21,11,26,2,4,7,20,27,6,4,9,2,2,24,5,33,39,8.26,2.65,0.45,1.05,0.429,0.55,1.3,0.423,0.1,0.2,0.5,0.35,1.0,1.35,0.3,0.2,0.45,0.1,0.1,1.2,0.25,1.65,1.95
E2023_P012724_ULK,E2023,P012724,"MESTOGLU, HAMZA",ULK,1.0,0.0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
